window_id,file,win_idx,true_label,predicted,prob,correct,cam_peak_hz,cam_peak_band,sig_peak_hz,sig_peak_band
BKG_00064,aaaaaaaq_s006_t000.pt,63,0,BACKGROUND,0.0525,True,11,Alpha,2,Delta
BKG_00065,aaaaaaaq_s006_t000.pt,64,0,BACKGROUND,0.1368,True,11,Alpha,2,Delta
BKG_00066,aaaaaaaq_s006_t000.pt,65,0,BACKGROUND,0.2544,True,21,Beta,2,Delta
BKG_00067,aaaaaaaq_s006_t000.pt,66,0,SEIZURE,0.695,False,21,Beta,2,Delta
BKG_00068,aaaaaaaq_s006_t000.pt,67,0,SEIZURE,0.6648,False,2,Delta,2,Delta
BKG_00069,aaaaaaaq_s006_t000.pt,68,0,BACKGROUND,0.3823,True,2,Delta,2,Delta
BKG_00070,aaaaaaaq_s006_t000.pt,69,0,SEIZURE,0.5474,False,21,Beta,2,Delta
BKG_00071,aaaaaaaq_s006_t000.pt,70,0,SEIZURE,0.8864,False,21,Beta,2,Delta
BKG_00072,aaaaaaaq_s006_t000.pt,71,0,SEIZURE,0.667,False,2,Delta,2,Delta
BKG_00073,aaaaaaaq_s006_t000.pt,72,0,SEIZURE,0.6072,False,21,Beta,2,Delta
BKG_00074,aaaaaaaq_s006_t000.pt,73,0,BACKGROUND,0.2256,True,2,Delta,2,Delta
BKG_00075,aaaaaaaq_s006_t000.pt,74,0,BACKGROUND,0.22,True,11,Alpha,2,Delta
BKG_00076,aaaaaaaq_s006_t000.pt,75,0,BACKGROUND,0.1646,True,11,Alpha,2,Delta
BKG_00077,aaaaaaaq_s006_t000.pt,76,0,BACKGROUND,0.3764,True,11,Alpha,2,Delta
BKG_00078,aaaaaaaq_s006_t000.pt,77,0,BACKGROUND,0.1176,True,11,Alpha,2,Delta
BKG_00079,aaaaaaaq_s006_t000.pt,78,0,BACKGROUND,0.054,True,11,Alpha,2,Delta
BKG_00080,aaaaaaaq_s006_t000.pt,79,0,BACKGROUND,0.2041,True,2,Delta,2,Delta
BKG_00081,aaaaaaaq_s006_t000.pt,80,0,BACKGROUND,0.3543,True,29,Beta,2,Delta
BKG_00082,aaaaaaaq_s006_t000.pt,81,0,BACKGROUND,0.067,True,11,Alpha,2,Delta
BKG_00083,aaaaaaaq_s006_t000.pt,82,0,BACKGROUND,0.2839,True,11,Alpha,2,Delta
BKG_00084,aaaaaaaq_s006_t000.pt,83,0,BACKGROUND,0.4259,True,11,Alpha,2,Delta
BKG_00085,aaaaaaaq_s006_t000.pt,84,0,BACKGROUND,0.1042,True,11,Alpha,2,Delta
BKG_00086,aaaaaaaq_s006_t000.pt,85,0,BACKGROUND,0.0342,True,2,Delta,2,Delta
BKG_00087,aaaaaaaq_s006_t000.pt,86,0,BACKGROUND,0.0663,True,11,Alpha,2,Delta
BKG_00088,aaaaaaaq_s006_t000.pt,87,0,BACKGROUND,0.095,True,11,Alpha,2,Delta
BKG_00089,aaaaaaaq_s006_t000.pt,88,0,BACKGROUND,0.3674,True,11,Alpha,2,Delta
BKG_00090,aaaaaaaq_s006_t000.pt,89,0,BACKGROUND,0.4703,True,11,Alpha,2,Delta
BKG_00091,aaaaaaaq_s006_t000.pt,90,0,BACKGROUND,0.3356,True,11,Alpha,2,Delta
BKG_00092,aaaaaaaq_s006_t000.pt,91,0,BACKGROUND,0.3387,True,11,Alpha,2,Delta
BKG_00093,aaaaaaaq_s006_t000.pt,92,0,BACKGROUND,0.408,True,29,Beta,2,Delta
BKG_00094,aaaaaaaq_s006_t000.pt,93,0,BACKGROUND,0.4142,True,11,Alpha,2,Delta
BKG_00095,aaaaaaaq_s006_t000.pt,94,0,BACKGROUND,0.4989,True,2,Delta,2,Delta
BKG_00096,aaaaaaaq_s006_t000.pt,95,0,SEIZURE,0.8781,False,21,Beta,2,Delta
BKG_00097,aaaaaaaq_s006_t000.pt,96,0,SEIZURE,0.7976,False,21,Beta,2,Delta
BKG_00098,aaaaaaaq_s006_t000.pt,97,0,SEIZURE,0.7509,False,21,Beta,2,Delta
BKG_00099,aaaaaaaq_s006_t000.pt,98,0,SEIZURE,0.7333,False,21,Beta,2,Delta
BKG_00100,aaaaaaaq_s006_t000.pt,99,0,SEIZURE,0.8397,False,21,Beta,2,Delta
BKG_00101,aaaaaaaq_s006_t000.pt,100,0,SEIZURE,0.8749,False,21,Beta,3,Delta
BKG_00102,aaaaaaaq_s006_t000.pt,101,0,SEIZURE,0.5927,False,2,Delta,2,Delta
BKG_00103,aaaaaaaq_s006_t000.pt,102,0,BACKGROUND,0.1957,True,2,Delta,2,Delta
BKG_00104,aaaaaaaq_s006_t000.pt,103,0,BACKGROUND,0.2062,True,11,Alpha,2,Delta
BKG_00105,aaaaaaaq_s006_t000.pt,104,0,BACKGROUND,0.1437,True,29,Beta,2,Delta
BKG_00106,aaaaaaaq_s006_t000.pt,105,0,BACKGROUND,0.1531,True,21,Beta,2,Delta
BKG_00107,aaaaaaaq_s006_t000.pt,106,0,BACKGROUND,0.305,True,12,Alpha,2,Delta
BKG_00108,aaaaaaaq_s006_t000.pt,107,0,BACKGROUND,0.1086,True,11,Alpha,2,Delta
BKG_00109,aaaaaaaq_s006_t000.pt,108,0,BACKGROUND,0.2317,True,11,Alpha,2,Delta
BKG_00110,aaaaaaaq_s006_t000.pt,109,0,BACKGROUND,0.3434,True,11,Alpha,2,Delta
BKG_00111,aaaaaaaq_s006_t000.pt,110,0,BACKGROUND,0.2148,True,2,Delta,2,Delta
BKG_00112,aaaaaaaq_s006_t000.pt,111,0,SEIZURE,0.7106,False,2,Delta,2,Delta
BKG_00113,aaaaaaaq_s006_t000.pt,112,0,SEIZURE,0.8205,False,29,Beta,2,Delta
BKG_00114,aaaaaaaq_s006_t000.pt,113,0,BACKGROUND,0.3318,True,2,Delta,2,Delta
BKG_00115,aaaaaaaq_s006_t000.pt,114,0,SEIZURE,0.6204,False,29,Beta,2,Delta
BKG_00116,aaaaaaaq_s006_t000.pt,115,0,SEIZURE,0.7768,False,21,Beta,2,Delta
BKG_00117,aaaaaaaq_s006_t000.pt,116,0,SEIZURE,0.8857,False,2,Delta,3,Delta
BKG_00118,aaaaaaaq_s006_t000.pt,117,0,SEIZURE,0.7907,False,2,Delta,2,Delta
BKG_00119,aaaaaaaq_s006_t000.pt,118,0,SEIZURE,0.6704,False,2,Delta,2,Delta
BKG_00120,aaaaaaaq_s006_t000.pt,119,0,SEIZURE,0.8418,False,2,Delta,2,Delta
BKG_00121,aaaaaaaq_s006_t000.pt,120,0,SEIZURE,0.9005,False,2,Delta,2,Delta
BKG_00122,aaaaaaaq_s006_t000.pt,121,0,SEIZURE,0.88,False,2,Delta,2,Delta
BKG_00123,aaaaaaaq_s006_t000.pt,122,0,SEIZURE,0.568,False,2,Delta,2,Delta
BKG_00124,aaaaaaaq_s006_t000.pt,123,0,SEIZURE,0.8203,False,2,Delta,2,Delta
BKG_00125,aaaaaaaq_s006_t000.pt,124,0,SEIZURE,0.8117,False,2,Delta,4,Delta
BKG_00126,aaaaaaaq_s006_t000.pt,125,0,BACKGROUND,0.1624,True,2,Delta,2,Delta
BKG_00127,aaaaaaaq_s006_t000.pt,126,0,BACKGROUND,0.2331,True,11,Alpha,2,Delta
BKG_00128,aaaaaaaq_s006_t000.pt,127,0,BACKGROUND,0.2905,True,11,Alpha,2,Delta
BKG_00129,aaaaaaaq_s006_t000.pt,128,0,BACKGROUND,0.4056,True,29,Beta,2,Delta
BKG_00130,aaaaaaaq_s006_t000.pt,129,0,BACKGROUND,0.3471,True,21,Beta,2,Delta
BKG_00131,aaaaaaaq_s006_t000.pt,130,0,BACKGROUND,0.2234,True,2,Delta,2,Delta
BKG_00132,aaaaaaaq_s006_t000.pt,131,0,SEIZURE,0.5658,False,11,Alpha,2,Delta
BKG_00133,aaaaaaaq_s006_t000.pt,132,0,BACKGROUND,0.2041,True,11,Alpha,2,Delta
BKG_00134,aaaaaaaq_s006_t000.pt,133,0,BACKGROUND,0.0229,True,11,Alpha,2,Delta
BKG_00135,aaaaaaaq_s006_t000.pt,134,0,BACKGROUND,0.0355,True,2,Delta,2,Delta
BKG_00136,aaaaaaaq_s006_t000.pt,135,0,BACKGROUND,0.0247,True,11,Alpha,2,Delta
BKG_00137,aaaaaaaq_s006_t000.pt,136,0,BACKGROUND,0.0437,True,11,Alpha,2,Delta
BKG_00138,aaaaaaaq_s006_t000.pt,137,0,BACKGROUND,0.2798,True,11,Alpha,2,Delta
BKG_00139,aaaaaaaq_s006_t000.pt,138,0,BACKGROUND,0.2936,True,11,Alpha,2,Delta
BKG_00140,aaaaaaaq_s006_t000.pt,139,0,SEIZURE,0.5776,False,29,Beta,2,Delta
BKG_00141,aaaaaaaq_s006_t000.pt,140,0,BACKGROUND,0.233,True,11,Alpha,2,Delta
BKG_00142,aaaaaaaq_s006_t000.pt,141,0,BACKGROUND,0.2067,True,11,Alpha,2,Delta
BKG_00143,aaaaaaaq_s006_t000.pt,142,0,BACKGROUND,0.2076,True,11,Alpha,2,Delta
BKG_00144,aaaaaaaq_s006_t000.pt,143,0,BACKGROUND,0.0475,True,11,Alpha,2,Delta
BKG_00145,aaaaaaaq_s006_t000.pt,144,0,BACKGROUND,0.0404,True,11,Alpha,2,Delta
BKG_00146,aaaaaaaq_s006_t000.pt,145,0,BACKGROUND,0.0227,True,11,Alpha,2,Delta
BKG_00147,aaaaaaaq_s006_t000.pt,146,0,BACKGROUND,0.0847,True,11,Alpha,2,Delta
BKG_00148,aaaaaaaq_s006_t000.pt,147,0,BACKGROUND,0.1812,True,11,Alpha,2,Delta
BKG_00149,aaaaaaaq_s006_t000.pt,148,0,BACKGROUND,0.1228,True,2,Delta,2,Delta
BKG_00150,aaaaaaaq_s006_t000.pt,149,0,BACKGROUND,0.1335,True,12,Alpha,2,Delta
BKG_00151,aaaaaaaq_s006_t000.pt,150,0,BACKGROUND,0.3466,True,12,Alpha,2,Delta
BKG_00152,aaaaaaaq_s006_t000.pt,151,0,BACKGROUND,0.3293,True,11,Alpha,2,Delta
BKG_00153,aaaaaaaq_s006_t000.pt,152,0,BACKGROUND,0.1151,True,11,Alpha,2,Delta
BKG_00154,aaaaaaaq_s006_t000.pt,153,0,BACKGROUND,0.0496,True,11,Alpha,2,Delta
BKG_00155,aaaaaaaq_s006_t000.pt,154,0,BACKGROUND,0.1447,True,11,Alpha,2,Delta
BKG_00156,aaaaaaaq_s006_t000.pt,155,0,BACKGROUND,0.0688,True,11,Alpha,2,Delta
BKG_00157,aaaaaaaq_s006_t000.pt,156,0,BACKGROUND,0.2902,True,21,Beta,2,Delta
BKG_00158,aaaaaaaq_s006_t000.pt,157,0,BACKGROUND,0.4291,True,11,Alpha,2,Delta
BKG_00159,aaaaaaaq_s006_t000.pt,158,0,BACKGROUND,0.2627,True,21,Beta,2,Delta
BKG_00160,aaaaaaaq_s006_t000.pt,159,0,BACKGROUND,0.0515,True,11,Alpha,2,Delta
BKG_00161,aaaaaaaq_s006_t000.pt,160,0,BACKGROUND,0.0602,True,11,Alpha,2,Delta
BKG_00162,aaaaaaaq_s006_t000.pt,161,0,BACKGROUND,0.1063,True,11,Alpha,2,Delta
BKG_00163,aaaaaaaq_s006_t000.pt,162,0,BACKGROUND,0.1788,True,11,Alpha,2,Delta
BKG_00164,aaaaaaaq_s006_t000.pt,163,0,BACKGROUND,0.0826,True,11,Alpha,2,Delta
BKG_00165,aaaaaaaq_s006_t000.pt,164,0,BACKGROUND,0.1099,True,11,Alpha,2,Delta
BKG_00166,aaaaaaaq_s006_t000.pt,165,0,BACKGROUND,0.165,True,11,Alpha,2,Delta
BKG_00167,aaaaaaaq_s006_t000.pt,166,0,BACKGROUND,0.3187,True,21,Beta,2,Delta
BKG_00168,aaaaaaaq_s006_t000.pt,167,0,BACKGROUND,0.2901,True,12,Alpha,2,Delta
BKG_00169,aaaaaaaq_s006_t000.pt,168,0,BACKGROUND,0.0942,True,11,Alpha,2,Delta
BKG_00170,aaaaaaaq_s006_t000.pt,169,0,BACKGROUND,0.1341,True,11,Alpha,2,Delta
BKG_00171,aaaaaaaq_s006_t000.pt,170,0,BACKGROUND,0.0804,True,11,Alpha,2,Delta
BKG_00172,aaaaaaaq_s006_t000.pt,171,0,BACKGROUND,0.118,True,29,Beta,2,Delta
BKG_00173,aaaaaaaq_s006_t000.pt,172,0,BACKGROUND,0.1669,True,11,Alpha,2,Delta
BKG_00174,aaaaaaaq_s006_t000.pt,173,0,SEIZURE,0.5497,False,21,Beta,3,Delta
BKG_00175,aaaaaaaq_s006_t000.pt,174,0,SEIZURE,0.9115,False,29,Beta,3,Delta
BKG_00176,aaaaaaaq_s006_t000.pt,175,0,SEIZURE,0.6863,False,11,Alpha,2,Delta
BKG_00177,aaaaaaaq_s006_t000.pt,176,0,BACKGROUND,0.43,True,11,Alpha,2,Delta
BKG_00178,aaaaaaaq_s006_t000.pt,177,0,SEIZURE,0.7576,False,29,Beta,2,Delta
BKG_00179,aaaaaaaq_s006_t000.pt,178,0,SEIZURE,0.7367,False,29,Beta,2,Delta
BKG_00180,aaaaaaaq_s006_t000.pt,179,0,SEIZURE,0.7981,False,11,Alpha,2,Delta
BKG_00181,aaaaaaaq_s006_t000.pt,180,0,SEIZURE,0.9239,False,21,Beta,2,Delta
BKG_00182,aaaaaaaq_s006_t000.pt,181,0,SEIZURE,0.7783,False,29,Beta,2,Delta
BKG_00183,aaaaaaaq_s006_t000.pt,182,0,SEIZURE,0.8529,False,21,Beta,2,Delta
BKG_00184,aaaaaaaq_s006_t000.pt,183,0,SEIZURE,0.8754,False,11,Alpha,2,Delta
BKG_00185,aaaaaaaq_s006_t000.pt,184,0,SEIZURE,0.6996,False,11,Alpha,2,Delta
BKG_00186,aaaaaaaq_s006_t000.pt,185,0,BACKGROUND,0.2449,True,2,Delta,2,Delta
BKG_00187,aaaaaaaq_s006_t000.pt,186,0,BACKGROUND,0.0762,True,11,Alpha,2,Delta
BKG_00188,aaaaaaaq_s006_t000.pt,187,0,BACKGROUND,0.3079,True,21,Beta,2,Delta
BKG_00189,aaaaaaaq_s006_t000.pt,188,0,BACKGROUND,0.4848,True,29,Beta,2,Delta
BKG_00190,aaaaaaaq_s006_t000.pt,189,0,BACKGROUND,0.3027,True,11,Alpha,2,Delta
BKG_00191,aaaaaaaq_s006_t000.pt,190,0,BACKGROUND,0.4075,True,2,Delta,2,Delta
BKG_00192,aaaaaaaq_s006_t000.pt,191,0,BACKGROUND,0.2165,True,11,Alpha,2,Delta
BKG_00193,aaaaaaaq_s006_t000.pt,192,0,BACKGROUND,0.0672,True,11,Alpha,2,Delta
BKG_00194,aaaaaaaq_s006_t000.pt,193,0,BACKGROUND,0.2794,True,21,Beta,2,Delta
BKG_00195,aaaaaaaq_s006_t000.pt,194,0,BACKGROUND,0.2095,True,11,Alpha,2,Delta
BKG_00196,aaaaaaaq_s006_t000.pt,195,0,BACKGROUND,0.127,True,11,Alpha,2,Delta
BKG_00197,aaaaaaaq_s006_t000.pt,196,0,BACKGROUND,0.0806,True,11,Alpha,2,Delta
BKG_00198,aaaaaaaq_s006_t000.pt,197,0,BACKGROUND,0.0852,True,11,Alpha,2,Delta
BKG_00199,aaaaaaaq_s006_t000.pt,198,0,BACKGROUND,0.2826,True,2,Delta,2,Delta
BKG_00200,aaaaaaaq_s006_t000.pt,199,0,BACKGROUND,0.3878,True,2,Delta,2,Delta
BKG_00201,aaaaaaaq_s006_t000.pt,200,0,BACKGROUND,0.2663,True,2,Delta,2,Delta
BKG_00202,aaaaaaaq_s006_t000.pt,201,0,BACKGROUND,0.2543,True,2,Delta,2,Delta
BKG_00203,aaaaaaaq_s006_t000.pt,202,0,BACKGROUND,0.3945,True,11,Alpha,2,Delta
BKG_00204,aaaaaaaq_s006_t000.pt,203,0,BACKGROUND,0.3463,True,11,Alpha,2,Delta
BKG_00205,aaaaaaaq_s006_t000.pt,204,0,BACKGROUND,0.2278,True,2,Delta,2,Delta
BKG_00206,aaaaaaaq_s006_t000.pt,205,0,BACKGROUND,0.2259,True,11,Alpha,2,Delta
BKG_00207,aaaaaaaq_s006_t000.pt,206,0,BACKGROUND,0.4664,True,11,Alpha,2,Delta
BKG_00208,aaaaaaaq_s006_t000.pt,207,0,BACKGROUND,0.1475,True,11,Alpha,2,Delta
BKG_00209,aaaaaaaq_s006_t000.pt,208,0,BACKGROUND,0.1276,True,2,Delta,2,Delta
BKG_00210,aaaaaaaq_s006_t000.pt,209,0,SEIZURE,0.7004,False,2,Delta,2,Delta
BKG_00211,aaaaaaaq_s006_t000.pt,210,0,SEIZURE,0.5626,False,29,Beta,2,Delta
BKG_00212,aaaaaaaq_s006_t000.pt,211,0,SEIZURE,0.6149,False,11,Alpha,2,Delta
BKG_00213,aaaaaaaq_s006_t000.pt,212,0,SEIZURE,0.6662,False,29,Beta,2,Delta
BKG_00214,aaaaaaaq_s006_t000.pt,213,0,SEIZURE,0.6751,False,12,Alpha,3,Delta
BKG_00215,aaaaaaaq_s006_t000.pt,214,0,SEIZURE,0.8507,False,29,Beta,2,Delta
BKG_00216,aaaaaaaq_s006_t000.pt,215,0,BACKGROUND,0.3891,True,2,Delta,2,Delta
BKG_00217,aaaaaaaq_s006_t000.pt,216,0,BACKGROUND,0.3236,True,11,Alpha,2,Delta
BKG_00218,aaaaaaaq_s006_t000.pt,217,0,BACKGROUND,0.3838,True,2,Delta,2,Delta
BKG_00219,aaaaaaaq_s006_t000.pt,218,0,SEIZURE,0.6259,False,2,Delta,2,Delta
BKG_00220,aaaaaaaq_s006_t000.pt,219,0,BACKGROUND,0.3001,True,11,Alpha,2,Delta
BKG_00221,aaaaaaaq_s006_t000.pt,220,0,BACKGROUND,0.3885,True,11,Alpha,2,Delta
BKG_00222,aaaaaaaq_s006_t000.pt,221,0,SEIZURE,0.6466,False,2,Delta,2,Delta
BKG_00223,aaaaaaaq_s006_t000.pt,222,0,SEIZURE,0.5865,False,2,Delta,2,Delta
BKG_00224,aaaaaaaq_s006_t000.pt,223,0,SEIZURE,0.7604,False,2,Delta,3,Delta
BKG_00225,aaaaaaaq_s006_t000.pt,224,0,BACKGROUND,0.4969,True,2,Delta,2,Delta
BKG_00226,aaaaaaaq_s006_t000.pt,225,0,SEIZURE,0.797,False,2,Delta,2,Delta
BKG_00227,aaaaaaaq_s006_t000.pt,226,0,BACKGROUND,0.2697,True,11,Alpha,2,Delta
BKG_00228,aaaaaaaq_s006_t000.pt,227,0,BACKGROUND,0.1575,True,11,Alpha,2,Delta
BKG_00229,aaaaaaaq_s006_t000.pt,228,0,BACKGROUND,0.1577,True,11,Alpha,2,Delta
BKG_00230,aaaaaaaq_s006_t000.pt,229,0,BACKGROUND,0.1241,True,11,Alpha,2,Delta
BKG_00231,aaaaaaaq_s006_t000.pt,230,0,BACKGROUND,0.1139,True,2,Delta,2,Delta
BKG_00232,aaaaaaaq_s006_t000.pt,231,0,BACKGROUND,0.3456,True,2,Delta,2,Delta
BKG_00233,aaaaaaaq_s006_t000.pt,232,0,SEIZURE,0.509,False,2,Delta,2,Delta
BKG_00234,aaaaaaaq_s006_t000.pt,233,0,BACKGROUND,0.4833,True,11,Alpha,2,Delta
BKG_00235,aaaaaaaq_s006_t000.pt,234,0,BACKGROUND,0.3013,True,11,Alpha,2,Delta
BKG_00236,aaaaaaaq_s006_t000.pt,235,0,SEIZURE,0.6352,False,2,Delta,2,Delta
BKG_00237,aaaaaaaq_s006_t000.pt,236,0,SEIZURE,0.6287,False,11,Alpha,2,Delta
BKG_00238,aaaaaaaq_s006_t000.pt,237,0,BACKGROUND,0.2291,True,11,Alpha,2,Delta
BKG_00239,aaaaaaaq_s006_t000.pt,238,0,BACKGROUND,0.3652,True,11,Alpha,2,Delta
BKG_00240,aaaaaaaq_s006_t000.pt,239,0,SEIZURE,0.6601,False,29,Beta,2,Delta
BKG_00241,aaaaaaaq_s006_t000.pt,240,0,BACKGROUND,0.4932,True,29,Beta,2,Delta
BKG_00242,aaaaaaaq_s006_t000.pt,241,0,BACKGROUND,0.1337,True,2,Delta,2,Delta
BKG_00243,aaaaaaaq_s006_t000.pt,242,0,BACKGROUND,0.1085,True,11,Alpha,2,Delta
BKG_00244,aaaaaaaq_s006_t000.pt,243,0,BACKGROUND,0.0905,True,11,Alpha,2,Delta
BKG_00245,aaaaaaaq_s006_t000.pt,244,0,BACKGROUND,0.4155,True,11,Alpha,2,Delta
BKG_00246,aaaaaaaq_s006_t000.pt,245,0,BACKGROUND,0.3229,True,11,Alpha,2,Delta
BKG_00247,aaaaaaaq_s006_t000.pt,246,0,BACKGROUND,0.2328,True,11,Alpha,2,Delta
